Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Chery Fulwin 2FL 2014 Car (Used),"Rs. 3,675,000",Chery,Fulwin 2FL,2014,81500,Manual,Petrol,1500,https://riyasewana.com/buy/chery-fulwin-2fl-sale-gampaha-11246559
Suzuki Alto K10 2011 Car (Used),"Rs. 3,050,000",Suzuki,Alto K10,2011,150000,Manual,Petrol,1000,https://riyasewana.com/buy/suzuki-alto-k10-sale-kandy-11246554
Toyota Vitz 2017 Car (Used),"Rs. 7,850,000",Toyota,Vitz,2017,59995,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-sale-kurunegala-11246547
Suzuki Wagon R Stingray 2018 Car (Used),"Rs. 7,400,000",Suzuki,Wagon R Stingray,2018,73800,Automatic,Petrol,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-kuliyapitiya-11246546
Suzuki Maruti 2004 Car (Used),Negotiable,Suzuki,Maruti,2004,11111111,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-kadawatha-11246544
BMW 320DE90 2011 Car (Used),"Rs. 12,000,000",BMW,320DE90,2011,185000,Automatic,Diesel,-,https://riyasewana.com/buy/bmw-320de90-sale-malabe-11246543
Toyota ROOMY CUSTOM G 2024 Car Unregistered (Recondition),"Rs. 10,350,000",,,,,,,,https://riyasewana.com/buy/toyota-roomy-custom-sale-kadawatha-11207536
Suzuki Wagon R Fz 2015 Car (Used),"Rs. 5,650,000",Suzuki,Wagon R Fz,2015,83000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11246541
Toyota Aqua Urban 2015 Car (Used),"Rs. 7,950,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-urban-sale-rajagiriya-11206134
Suzuki Alto Lxi 2015 Car (Used),"Rs. 3,635,000",Suzuki,Alto Lxi,2015,130000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-lxi-sale-galle-11246536
Suzuki Swift 2005 Car (Used),"Rs. 4,250,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-colombo-11233809
Toyota Prius ZVW30 2012 Car (Used),"Rs. 9,800,000",,,,,,,,https://riyasewana.com/buy/toyota-prius-zvw30-sale-kottawa-11131522
Kia Picanto 2017 Car (Used),"Rs. 5,900,000",,,,,,,,https://riyasewana.com/buy/kia-picanto-sale-colombo-11240507
Mazda Axela 3 2009 Car (Used),"Rs. 7,150,000",Mazda,Axela 3,2009,1640000,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-axela-3-sale-tangalle-11246534
Honda City 2003 Car (Used),Negotiable,Honda,City,2003,140000,Automatic,Petrol,1500,https://riyasewana.com/buy/honda-city-sale-gampaha-11246533
Mazda Familia Bj 5 2004 Car (Used),Negotiable,Mazda,Familia Bj 5,2004,280000,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-familia-bj-sale-hambantota-11246531
Nissan March 1999 Car (Used),"Rs. 2,675,000",Nissan,March,1999,170000,Manual,Petrol,1000,https://riyasewana.com/buy/nissan-march-sale-veyangoda-11246528
Mitsubishi Lancer CS1 2005 Car (Used),"Rs. 5,875,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-cs1-sale-homagama-11240498
Volvo 940GL 1995 Car (Used),"Rs. 2,500,000",,,,,,,,https://riyasewana.com/buy/volvo-940gl-sale-piliyandala-11240500
Toyota Allion 260 2007 Car (Used),"Rs. 7,800,000",,,,,,,,https://riyasewana.com/buy/toyota-allion-260-sale-colombo-11240491
Suzuki Wagon R FX Safety 2024 Car (Used),"Rs. 7,175,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-matara-11240496
Honda Fit Gp5 S Grade 2014 Car (Used),"Rs. 7,800,000",,,,,,,,https://riyasewana.com/buy/honda-fit-gp5-sale-polonnaruwa-11240495
Daihatsu Mira G Grade 2025 Car Brand New,Negotiable,Daihatsu,Mira G Grade,2025,7,Automatic,Petrol,650,https://riyasewana.com/buy/daihatsu-mira-g-sale-galle-11246522
Mitsubishi Lancer Box 1984 Car (Used),"Rs. 1,275,000",Mitsubishi,Lancer Box,1984,-,Manual,Petrol,1400,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-gampaha-11246526
Suzuki Alto LXI 2015 Car (Used),"Rs. 3,640,000",Suzuki,Alto LXI,2015,119368,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-lxi-sale-kalutara-11246520
Daihatsu Taft 2024 Car (Used),"Rs. 8,500,000",Daihatsu,Taft,2024,3000,Automatic,Petrol,-,https://riyasewana.com/buy/daihatsu-taft-sale-colombo-11246519
Toyota Allion 2010 Car (Used),"Rs. 9,000,000",,,,,,,,https://riyasewana.com/buy/toyota-allion-sale-homagama-11240488
Toyota Premio G Superior 2013 Car (Used),"Rs. 10,800,000",,,,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-mawanella-11240480
Suzuki Maruti 2007 Car (Used),"Rs. 2,025,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-bandaragama-11240479
Nissan March K12 2002 Car (Used),"Rs. 3,390,000",,,,,,,,https://riyasewana.com/buy/nissan-march-k12-sale-mirigama-11240478
Toyota Allion 260 2011 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-allion-260-sale-ragama-11240473
Nissan Dayz Wagon Highway Star 2017 Car (Used),Negotiable,Nissan,Dayz Wagon Highway Star,2017,65000,Automatic,Petrol,659,https://riyasewana.com/buy/nissan-dayz-wagon-sale-kandana-11246518
Toyota Corona AT 150 1990 Car (Used),"Rs. 1,275,000",Toyota,Corona AT 150,1990,200000,Manual,Diesel,2000,https://riyasewana.com/buy/toyota-corona-at-sale-horana-11246515
Toyota Axio 2006 Car (Used),"Rs. 6,900,000",Toyota,Axio,2006,165000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-sale-pannipitiya-11246514
Audi A4 2016 Car (Used),"Rs. 17,900,000",,,,,,,,https://riyasewana.com/buy/audi-a4-sale-colombo-11240472
Suzuki ALTO SPORTS 2015 Car (Used),"Rs. 3,975,000",Suzuki,ALTO SPORTS,2015,100000,Automatic,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sports-sale-welisara-11246513
Nissan March K11 2001 Car (Used),"Rs. 3,380,000",Nissan,March K11,2001,164900,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-march-k11-sale-kurunegala-11246512
Hyundai Coupe 2000 Car (Used),"Rs. 3,450,000",,,,,,,,https://riyasewana.com/buy/hyundai-coupe-sale-polonnaruwa-11240467
Toyota Corolla Elephant Back 1996 Car (Used),"Rs. 3,050,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-elephant-sale-kalmunai-11240465
Toyota Starlet 2000 Car (Used),"Rs. 3,350,000",,,,,,,,https://riyasewana.com/buy/toyota-starlet-sale-ambalangoda-11240460
Mitsubishi Lancer Box 1983 Car (Used),"Rs. 1,330,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kottawa-11240461
Toyota Vitz 2 Nd Edition 2018 Car (Used),"Rs. 7,975,000",Toyota,Vitz 2 Nd Edition,2018,99000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-2-sale-kandy-11246506
Daihatsu Caddie 2016 Car (Used),"Rs. 5,500,000",Daihatsu,Caddie,2016,100717,Automatic,Petrol,650,https://riyasewana.com/buy/daihatsu-caddie-sale-kandy-11246510
Suzuki Alto Japan 2016 Car (Used),"Rs. 5,250,000",Suzuki,Alto Japan,2016,124000,Automatic,Petrol,800,https://riyasewana.com/buy/suzuki-alto-japan-sale-kurunegala-11246503
Toyota Vitz Safety Edition 2 2018 Car (Used),"Rs. 8,150,000",Toyota,Vitz Safety Edition 2,2018,73647,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-safety-sale-gampaha-11246502
Toyota Tank Roomy GS Custom 2018 Car (Used),"Rs. 7,850,000",Toyota,Tank Roomy GS Custom,2018,91000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-tank-roomy-sale-colombo-11246500
Suzuki Celerio 2016 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-celerio-sale-ragama-11240459
Nissan FB14 SUPER SALOON 1996 Car (Used),"Rs. 3,265,000",,,,,,,,https://riyasewana.com/buy/nissan-fb14-super-sale-kurunegala-11240456
Toyota Aqua 2012 Car (Used),"Rs. 7,500,000",Toyota,Aqua,2012,220000,Automatic,Hybrid,-,https://riyasewana.com/buy/toyota-aqua-sale-malabe-11246499
Suzuki Wagon R 2017 Car (Used),"Rs. 5,750,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-11240444
Nissan Doctor Sunny B13 1991 Car (Used),"Rs. 2,250,000",,,,,,,,https://riyasewana.com/buy/nissan-doctor-sunny-sale-battaramulla-11240440
Toyota Yaris 2008 Car (Used),"Rs. 5,750,000",,,,,,,,https://riyasewana.com/buy/toyota-yaris-sale-panadura-11240434
Toyota Vios 2004 Car (Used),"Rs. 5,350,000",,,,,,,,https://riyasewana.com/buy/toyota-vios-sale-kolonnawa-11240431
Nissan Trad Sunny 1990 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-trad-sunny-sale-kadawatha-11240433
